statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q384658-690047A6-A05B-4566-BC79-3F0B8E029B09,Q384658,Anthony Lawlor,Q6406731,Kildare North,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q444685-0F50030E-043C-4E17-8FBE-FB4CE26F83F2,Q444685,Joan Burton,Q5310999,Dublin West,Q503614,Labour Party,2016-03-10,"",32
Q444685-dc7d09bc-41cc-223b-d0df-71d8372470a0,Q444685,Joan Burton,Q5310999,Dublin West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q444725-0ADBE6CC-5E86-469C-9012-42970B57FE39,Q444725,Jan O'Sullivan,Q6549243,Limerick City,Q503614,Labour Party,2016-03-10,"",32
Q444725-6dca28d4-4368-aea1-ccde-c056cda912b7,Q444725,Jan O'Sullivan,Q6549243,Limerick City,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q454245-7BC8D956-6A28-450A-B469-F93A382DD208,Q454245,Alan Kelly,Q3083080,Tipperary North,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q454245-be853bd0-4bd4-f3a9-d125-9cabee204ed1,Q454245,Alan Kelly,Q7808886,Tipperary,Q503614,Labour Party,2016-03-10,"",32
Q466028-D4E0C264-2C4B-4192-A1C2-4A69784C05B7,Q466028,Brendan Howlin,Q3458611,Wexford,Q503614,Labour Party,2016-03-10,"",32
Q466028-4BF79F47-F29B-4C97-9F9A-E85B9AD093B9,Q466028,Brendan Howlin,Q3458611,Wexford,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q466044-12350DF7-F14A-4008-A86C-5184DB274500,Q466044,Brendan Smith,Q2701743,Cavan–Monaghan,Q216517,Fianna Fáil,2016-03-10,"",32
Q466044-464e4469-40aa-c39a-3577-d02f407b0c16,Q466044,Brendan Smith,Q2701743,Cavan–Monaghan,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q467414-E43C219A-840F-4D88-8E74-BCE472E6F139,Q467414,Mary Lou McDonald,Q2622823,Dublin Central,Q76382,Sinn Féin,2016-03-10,"",32
Q467414-93511137-4285-422C-ABD8-A3867920C597,Q467414,Mary Lou McDonald,Q2622823,Dublin Central,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q4687826-B0BE216F-EEDB-4C3D-8E23-0ACF6EE12E17,Q4687826,Aengus Ó Snodaigh,Q5310969,Dublin South–Central,Q76382,Sinn Féin,2016-03-10,"",32
Q4687826-1306EA2E-6034-44E7-8C65-A9E798F38B19,Q4687826,Aengus Ó Snodaigh,Q5310969,Dublin South–Central,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q4706603-E8854835-C1E1-42BC-886A-4DB32D2DC286,Q4706603,Alan Farrell,Q5310945,Dublin North,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q4706603-D5E7EEC1-43C8-455C-AD28-BA551DF7F40B,Q4706603,Alan Farrell,Q20620587,Dublin Fingal,Q247135,Fine Gael,2016-03-10,"",32
Q4756838-935EFFB0-FF08-44A4-B83B-4619C971CDA2,Q4756838,Andrew Doyle,Q2380581,Wicklow,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q4756838-67EFEC47-EA0B-471E-8077-A0A7E50B7822,Q4756838,Andrew Doyle,Q2380581,Wicklow,Q247135,Fine Gael,2016-03-10,"",32
