id,position,label,description,start_date,term,end_date,replaces,replaced_by,constituency,election
Q7030399,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q7121672,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q7121672,Q18882653,member of the Senate of Chile,"","",,,,,,
Q7121672,Q55717969,,"","",,,,,,
Q8846905,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q8846905,Q18882653,member of the Senate of Chile,"","",,,,,,
Q9028603,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q9066903,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q9068062,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q966522,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q975427,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
