id,position,label,description,start_date,term,end_date,replaces,replaced_by,constituency,election
Q5663493,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5664433,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5664721,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5665033,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5672323,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5675205,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5675566,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5675717,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5676013,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5698649,Q18067639,member of the Chamber of Deputies of Chile,"",1990-03-11,,1994-03-11,,,,
Q5698649,Q18882653,member of the Senate of Chile,"",1994-03-11,,2018-03-11,,,,
Q5698786,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5707321,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5707507,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5749863,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5749863,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5749950,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5749950,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5750170,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5750685,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5750685,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5751049,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5751049,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5751491,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5752011,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5752094,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5771849,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5771865,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5788711,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5788711,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5790097,Q18067639,member of the Chamber of Deputies of Chile,"",1994-03-11,49th legislature of the National Congress of Chile,1998-03-11,,,,
Q5791610,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5791610,Q55718063,,"",2018-03-11,,,Paulina Saball,,,
Q5798543,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5799538,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5800346,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5802697,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5809204,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5810049,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5818156,Q18067639,member of the Chamber of Deputies of Chile,"",2014-03-11,54th legislature of the National Congress of Chile,2018-03-11,,,,
Q5818156,Q18067639,member of the Chamber of Deputies of Chile,"",2018-03-11,55th legislature of the National Congress of Chile,,,,District 10,
Q5818156,Q6594729,president of the Chamber of Deputies of Chile,"",2018-03-11,,,Fidel Espinoza,,,
Q5818789,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5818825,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5819095,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5832999,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5833260,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5833474,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5833474,Q55755578,Minister of the Interior,Chilean minister,1990-03-11,,1994-03-11,Carlos Cáceres Contreras,Germán Correa,,
Q5833474,Q55840109,,"","",,,,,,
Q5834000,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5834005,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5850440,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5850548,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5850548,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5850605,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5854757,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5855924,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5858409,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5858483,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5865198,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5865438,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5865610,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5869979,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5870897,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5870897,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5873208,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5873569,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5875838,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5876276,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5878608,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5878851,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5880050,Q18067639,member of the Chamber of Deputies of Chile,"",2014-03-11,54th legislature of the National Congress of Chile,2018-03-11,,,,
Q5880050,Q18067639,member of the Chamber of Deputies of Chile,"",2018-03-11,55th legislature of the National Congress of Chile,,,,District 10,
Q5880119,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5882822,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5882909,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5883011,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5889022,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5889453,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5889668,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5889966,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5904499,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5906325,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5913597,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5921242,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5922926,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5923517,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5923528,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5925226,Q18067639,member of the Chamber of Deputies of Chile,"",1998-03-11,,2010-03-11,,,,
Q5925226,Q18067639,member of the Chamber of Deputies of Chile,"",2018-03-11,55th legislature of the National Congress of Chile,,,,District 4,
Q5925233,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5925233,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5925247,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5925286,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5927839,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5932019,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5932771,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5934645,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5934645,Q55717944,Minister of National Defence,Chilean minister,2014-03-11,,2015-05-11,Rodrigo Hinzpeter,José Antonio Gómez Urrutia,,
Q5934645,Q55718065,,"",2015-05-11,,2016-06-08,Rodrigo Peñailillo,Mario Fernández Baeza,,
Q5935318,Q18067639,member of the Chamber of Deputies of Chile,"",2006-03-11,52nd legislature of the National Congress of Chile,2010-03-11,,,,
Q5935318,Q18067639,member of the Chamber of Deputies of Chile,"",2014-03-11,54th legislature of the National Congress of Chile,2015-05-11,,,,
Q5935318,Q55718071,,"",2015-05-11,,2015-06-07,Ximena Rincón,Nicolás Eyzaguirre,,
Q5935636,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5935666,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5935992,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5936037,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5936071,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5936129,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5936177,Q16579379,Intendant of the Biobio,"",2018-03-11,,,Rodrigo Díaz Worner,,,
Q5936177,Q18067639,member of the Chamber of Deputies of Chile,"",1990-03-11,,2018-03-11,,,,
Q5937826,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5937916,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5942061,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5943992,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5947246,Q18067639,member of the Chamber of Deputies of Chile,"",1990-03-11,,2002-03-11,,,,
Q5947246,Q18882653,member of the Senate of Chile,"",2002-03-11,,,,,,
Q5950700,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5951382,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5951802,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5952252,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5955225,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5958343,Q18067639,member of the Chamber of Deputies of Chile,"",2006-03-11,52nd legislature of the National Congress of Chile,2018-03-11,,,,
Q5958343,Q9008867,Intendant of the Metropolitan Region of Santiago,"",2018-03-11,,,Claudio Orrego,,,
Q5971703,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5971703,Q18882653,member of the Senate of Chile,"","",,,,,,
Q5973488,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5976459,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5983758,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5983761,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
